Year,Month_name,State,ELECTRIC(BOV),Total,Perc
2024,dec,Himachal Pradesh,18.0,3710.0,0.49
2024,dec,Haryana,155.0,24776.0,0.63
2024,dec,Jharkhand,17.0,4029.0,0.42
2024,dec,Jammu and Kashmir,16.0,4318.0,0.37
2024,dec,Karnataka,266.0,19305.0,1.38
2024,dec,Kerala,553.0,14078.0,3.93
2024,dec,Ladakh,0.0,192.0,0.0
2024,dec,Lakshadweep,0.0,1.0,0.0
2024,dec,Maharashtra,394.0,30065.0,1.31
2024,dec,Arunachal Pradesh,1.0,1289.0,0.08
2024,dec,Meghalaya,0.0,739.0,0.0
2024,dec,Manipur,9.0,506.0,1.78
2024,dec,Madhya Pradesh,70.0,9805.0,0.71
2024,dec,Mizoram,0.0,421.0,0.0
2024,dec,Nagaland,0.0,502.0,0.0
2024,dec,Odisha,122.0,5642.0,2.16
2024,dec,Punjab,75.0,14744.0,0.51
2024,dec,Puducherry,7.0,946.0,0.74
2024,dec,Rajasthan,217.0,12764.0,1.7
2024,dec,Sikkim,0.0,284.0,0.0
2024,dec,Assam,50.0,5896.0,0.85
2024,dec,Tamil Nadu,289.0,19728.0,1.46
2024,dec,Tripura,0.0,385.0,0.0
2024,dec,Uttarakhand,19.0,3243.0,0.59
2024,dec,Uttar Pradesh,194.0,27469.0,0.71
2024,dec,Andaman & Nicobar Island,1.0,159.0,0.63
2014,may,Andaman & Nicobar Island,0.0,146.0,0.0
2014,dec,Andhra Pradesh,0.0,3661.0,0.0
2014,nov,Andhra Pradesh,1.0,4678.0,0.02
2014,oct,Andhra Pradesh,0.0,3614.0,0.0
2014,sep,Andhra Pradesh,1.0,4777.0,0.02
2014,aug,Andhra Pradesh,0.0,4439.0,0.0
2014,jul,Andhra Pradesh,0.0,4581.0,0.0
2014,jun,Andhra Pradesh,1.0,3608.0,0.03
2014,may,Andhra Pradesh,0.0,4014.0,0.0
2014,apr,Andhra Pradesh,0.0,4303.0,0.0
2014,mar,Andhra Pradesh,2.0,5139.0,0.04
2014,feb,Andhra Pradesh,0.0,2932.0,0.0
2014,jan,Andhra Pradesh,0.0,4718.0,0.0
2014,jun,Arunachal Pradesh,0.0,312.0,0.0
2014,may,Arunachal Pradesh,0.0,348.0,0.0
2014,apr,Arunachal Pradesh,0.0,299.0,0.0
2014,mar,Arunachal Pradesh,0.0,353.0,0.0
2014,feb,Arunachal Pradesh,0.0,232.0,0.0
2014,jan,Arunachal Pradesh,0.0,362.0,0.0
2014,aug,Arunachal Pradesh,0.0,311.0,0.0
2014,jul,Arunachal Pradesh,0.0,341.0,0.0
2014,dec,Arunachal Pradesh,0.0,288.0,0.0
2014,nov,Arunachal Pradesh,0.0,265.0,0.0
2014,oct,Arunachal Pradesh,0.0,316.0,0.0
2014,sep,Arunachal Pradesh,0.0,349.0,0.0
2014,dec,Assam,0.0,4070.0,0.0
2014,nov,Assam,0.0,4085.0,0.0
2014,oct,Assam,0.0,4058.0,0.0
2014,sep,Assam,0.0,3946.0,0.0
2014,aug,Assam,0.0,3388.0,0.0
2014,jul,Assam,0.0,3836.0,0.0
2014,may,Assam,0.0,4146.0,0.0
2014,jun,Assam,0.0,3575.0,0.0
2014,apr,Assam,0.0,3406.0,0.0
2014,mar,Assam,0.0,3416.0,0.0
2014,feb,Assam,0.0,3237.0,0.0
2014,jan,Assam,0.0,4160.0,0.0
2014,jan,Andaman & Nicobar Island,0.0,122.0,0.0
2014,feb,Andaman & Nicobar Island,0.0,93.0,0.0
2014,mar,Andaman & Nicobar Island,0.0,115.0,0.0
2014,apr,Andaman & Nicobar Island,0.0,88.0,0.0
2014,jun,Andaman & Nicobar Island,0.0,134.0,0.0
2014,jul,Andaman & Nicobar Island,0.0,185.0,0.0
2014,aug,Andaman & Nicobar Island,0.0,101.0,0.0
2014,sep,Andaman & Nicobar Island,0.0,145.0,0.0
2014,oct,Andaman & Nicobar Island,0.0,145.0,0.0
2014,nov,Andaman & Nicobar Island,0.0,119.0,0.0
2014,dec,Andaman & Nicobar Island,0.0,123.0,0.0
2014,jan,Bihar,0.0,3318.0,0.0
2014,feb,Bihar,1.0,3039.0,0.03
2014,mar,Bihar,0.0,3530.0,0.0
2014,apr,Bihar,0.0,3300.0,0.0
2014,may,Bihar,0.0,3429.0,0.0
2014,jun,Bihar,0.0,3225.0,0.0
2014,jul,Bihar,0.0,3113.0,0.0
2014,aug,Bihar,0.0,2721.0,0.0
2014,sep,Bihar,0.0,2637.0,0.0
2014,oct,Bihar,1.0,3208.0,0.03
2014,nov,Bihar,0.0,4042.0,0.0
2014,dec,Bihar,0.0,3611.0,0.0
2014,jan,Chhattisgarh,0.0,2698.0,0.0
2014,feb,Chhattisgarh,0.0,1879.0,0.0
2014,mar,Chhattisgarh,1.0,2240.0,0.04
2014,apr,Chhattisgarh,0.0,2370.0,0.0
2014,may,Chhattisgarh,0.0,2493.0,0.0
2014,jun,Chhattisgarh,0.0,2373.0,0.0
2014,jul,Chhattisgarh,0.0,2219.0,0.0
2014,aug,Chhattisgarh,0.0,1926.0,0.0
2014,sep,Chhattisgarh,0.0,1999.0,0.0
2014,oct,Chhattisgarh,0.0,3391.0,0.0
2014,nov,Chhattisgarh,1.0,2907.0,0.03
2014,dec,Chhattisgarh,0.0,2079.0,0.0
2014,jan,Chandigarh,0.0,2087.0,0.0
2014,feb,Chandigarh,0.0,1326.0,0.0
2014,mar,Chandigarh,0.0,1277.0,0.0
2014,apr,Chandigarh,0.0,1750.0,0.0
2014,may,Chandigarh,0.0,1490.0,0.0
2014,jun,Chandigarh,0.0,1166.0,0.0
2014,jul,Chandigarh,0.0,1931.0,0.0
2014,aug,Chandigarh,0.0,1280.0,0.0
2014,sep,Chandigarh,0.0,1425.0,0.0
2014,oct,Chandigarh,0.0,1274.0,0.0
2014,nov,Chandigarh,0.0,1260.0,0.0
2014,dec,Chandigarh,0.0,1615.0,0.0
2014,jan,DNH and DD,0.0,311.0,0.0
2014,feb,DNH and DD,0.0,300.0,0.0
2014,mar,DNH and DD,0.0,272.0,0.0
2014,apr,DNH and DD,0.0,238.0,0.0
2014,may,DNH and DD,0.0,270.0,0.0
2014,jun,DNH and DD,0.0,257.0,0.0
2014,jul,DNH and DD,0.0,257.0,0.0
2014,aug,DNH and DD,0.0,241.0,0.0
2014,sep,DNH and DD,0.0,262.0,0.0
2014,oct,DNH and DD,0.0,353.0,0.0
2014,nov,DNH and DD,0.0,362.0,0.0
2014,dec,DNH and DD,0.0,285.0,0.0
2014,jan,Delhi,5.0,15969.0,0.03
2014,feb,Delhi,0.0,11311.0,0.0
2014,mar,Delhi,0.0,11174.0,0.0
2014,apr,Delhi,3.0,14384.0,0.02
2014,may,Delhi,3.0,14515.0,0.02
2014,jun,Delhi,3.0,13193.0,0.02
2014,jul,Delhi,1.0,13681.0,0.01
2014,aug,Delhi,3.0,11435.0,0.03
2014,sep,Delhi,1.0,10540.0,0.01
2014,oct,Delhi,2.0,13565.0,0.01
2014,nov,Delhi,1.0,11191.0,0.01
2014,dec,Delhi,2.0,12691.0,0.02
2014,jan,Goa,1.0,1536.0,0.07
2014,feb,Goa,0.0,1017.0,0.0
2014,mar,Goa,0.0,1530.0,0.0
2014,apr,Goa,0.0,1187.0,0.0
2014,may,Goa,0.0,1203.0,0.0
2014,jun,Goa,0.0,1107.0,0.0
2014,jul,Goa,0.0,1198.0,0.0
2014,aug,Goa,0.0,1944.0,0.0
2014,sep,Goa,0.0,1344.0,0.0
2014,oct,Goa,0.0,1719.0,0.0
2014,nov,Goa,0.0,1276.0,0.0
2014,dec,Goa,0.0,1519.0,0.0
2014,jan,Gujarat,0.0,17580.0,0.0
2014,feb,Gujarat,0.0,13776.0,0.0
2014,mar,Gujarat,2.0,14841.0,0.01
