brand,model,release_year,charging_voltage,energy_consumption,ac_max_power,dc_max_power,battery_kwh,ev_key
Abarth,500E,2024,400,22.2,11.0,85.0,42.2,Abarth_500E
Abarth,600e Scorpionissima,2024,400,18.1,11.0,100.0,50.8,Abarth_600e Scorpionissima
Abarth,500e Convertible,2023,400,16.8,11.0,85.0,37.8,Abarth_500e Convertible
Abarth,500e Scorpionissima,2023,400,16.8,11.0,85.0,37.8,Abarth_500e Scorpionissima
Abarth,600e Turismo,2024,400,18.1,11.0,100.0,50.8,Abarth_600e Turismo
Abarth,scorpionissima,2023,400,16.8,11.0,37.8,37.8,Abarth_scorpionissima
Abarth,hatchback,2023,400,16.8,11.0,37.8,37.8,Abarth_hatchback
Abarth,convertible,2023,400,16.8,11.0,37.8,37.8,Abarth_convertible
Aiways,U5.,2022,400,19.0,11.0,60.0,60.0,Aiways_U5.
Aiways,U6.,2022,400,17.1,11.0,60.0,60.0,Aiways_U6.
Alpine,A290 Electric 220 hp,2024,400,17.0,11.0,100.0,52.0,Alpine_A290 Electric 220 hp
Alpine,A290 Electric 180 hp,2024,400,16.8,11.0,100.0,52.0,Alpine_A290 Electric 180 hp
Artega,Karo,2020,400,7.2,4.0,150.0,14.4,Artega_Karo
Audi,GT,2021,400,21.0,11.0,268.0,85.0,Audi_GT
Audi,GT,2021,400,20.2,11.0,268.0,85.0,Audi_GT
Audi,Q4 Sportback e-tron,2021,400,17.6,7.2,100.0,52.0,Audi_Q4 Sportback e-tron
Audi,Q4 Sportback e-tron,2021,400,19.0,11.0,125.0,77.0,Audi_Q4 Sportback e-tron
Audi,Q4 e-tron,2021,400,18.2,7.2,100.0,52.0,Audi_Q4 e-tron
Audi,Q4 e-tron,2021,400,18.8,11.0,125.0,77.0,Audi_Q4 e-tron
Audi,Q4 e-tron,2023,400,18.3,11.0,135.0,77.0,Audi_Q4 e-tron
Audi,Q4 e-tron,2021,400,19.7,11.0,125.0,77.0,Audi_Q4 e-tron
Audi,Q6 e-tron,2024,800,19.8,11.0,260.0,94.9,Audi_Q6 e-tron
Audi,Q6 e-tron,2024,800,20.6,11.0,270.0,94.9,Audi_Q6 e-tron
Audi,Q8 e-tron,2022,400,20.9,11.0,155.0,89.0,Audi_Q8 e-tron
Audi,Q8 e-tron,2022,400,21.0,11.0,168.0,106.0,Audi_Q8 e-tron
Audi,Q8 e-tron,2022,400,20.2,11.0,168.0,106.0,Audi_Q8 e-tron
Audi,SQ6 e-tron,2024,800,21.3,11.0,270.0,94.9,Audi_SQ6 e-tron
Audi,e-tron 50,2019,400,22.7,11.0,124.0,65.0,Audi_e-tron 50
Audi,e-tron 50,2019,400,22.7,22.0,124.0,65.0,Audi_e-tron 50
Audi,e-tron 55,2019,400,23.4,11.0,155.0,86.5,Audi_e-tron 55
Audi,e-tron 55,2019,400,23.4,22.0,155.0,86.5,Audi_e-tron 55
Audi,e-tron S,2020,400,27.0,22.0,188.0,95.0,Audi_e-tron S
Audi,e-tron S,2020,400,27.0,22.0,149.0,86.5,Audi_e-tron S
Audi,e-tron GT quattro,2021,400,20.2,11.0,268.0,85.0,Audi_e-tron GT quattro
Audi,A6 Sportback e-tron quattro,2024,400,16.2,11.0,270.0,94.9,Audi_A6 Sportback e-tron quattro
Audi,e-tron GT RS,2024,400,18.5,11.0,320.0,97.0,Audi_e-tron GT RS
Audi,e-tron GT S,2024,400,18.0,11.0,320.0,97.0,Audi_e-tron GT S
Audi,A6 Avant e-tron quattro,2024,400,17.7,11.0,270.0,94.9,Audi_A6 Avant e-tron quattro
Audi,Q6 e-tron,2024,400,19.2,11.0,225.0,75.8,Audi_Q6 e-tron
Audi,e-tron Sportback 55 quattro,2020,400,22.8,11.0,155.0,86.5,Audi_e-tron Sportback 55 quattro
Audi,Q4 e-tron 55 quattro,2023,400,19.5,11.0,175.0,77.0,Audi_Q4 e-tron 55 quattro
Audi,A6 Avant e-tron,2024,400,16.0,11.0,225.0,75.8,Audi_A6 Avant e-tron
Audi,A6 Sportback e-tron,2024,400,15.6,11.0,225.0,75.8,Audi_A6 Sportback e-tron
Audi,e-tron 50 quattro,2021,400,23.1,11.0,120.0,64.7,Audi_e-tron 50 quattro
Audi,e-tron 55 quattro,2020,400,23.7,11.0,155.0,86.5,Audi_e-tron 55 quattro
