image,name,range,effeciency,battery,price
https://ev-database.org/img/auto/BYD_ATTO_3_2025/BYD_ATTO_3_2025-01-thumb.jpg,BYDATTO,340 km,178 Wh/km,60.5 kWh,"€38,990"
https://ev-database.org/img/auto/BMW_iX3_2026/BMW_iX3_2026-01-thumb.jpg,BMWiX3,610 km,178 Wh/km,108.7 kWh,"€68,900"
https://ev-database.org/img/auto/MG_MG4_Electric_2022/MG_MG4_Electric_2022-01-thumb.jpg,MGMG4,360 km,171 Wh/km,61.7 kWh,"€39,990"
https://ev-database.org/img/auto/Fiat_500e_Hatchback_2020/Fiat_500e_Hatchback_2020-01-thumb.jpg,Fiat500e,235 km,159 Wh/km,37.3 kWh,"€34,990"
https://ev-database.org/img/auto/Renault_5_ETech/Renault_5_ETech-01-thumb.jpg,Renault5,335 km,155 Wh/km,52.0 kWh,"€32,900"
https://ev-database.org/img/auto/Mercedes_CLA/Mercedes_CLA-01-thumb.jpg,Mercedes-BenzCLA,585 km,145 Wh/km,85.0 kWh,"€55,859"
https://ev-database.org/img/auto/Tesla_Model_3_Standard_2026/Tesla_Model_3_Standard_2026-01-thumb.jpg,TeslaModel,445 km,135 Wh/km,60.0 kWh,"€37,970"
https://ev-database.org/img/auto/BYD_ATTO_2/BYD_ATTO_2-01-thumb.jpg,BYDATTO,245 km,184 Wh/km,45.1 kWh,"€31,990"
https://ev-database.org/img/auto/Kia_EV3_2025/Kia_EV3_2025-01-thumb.jpg,KiaEV3,455 km,171 Wh/km,78.0 kWh,"€41,390"
https://ev-database.org/img/auto/Leapmotor_B10/Leapmotor_B10-01-thumb.jpg,LeapmotorB10,360 km,181 Wh/km,65.0 kWh,"€32,400"
https://ev-database.org/img/auto/Renault_4_ETech/Renault_4_ETech-01-thumb.jpg,Renault4,315 km,165 Wh/km,52.0 kWh,"€32,400"
https://ev-database.org/img/auto/Tesla_Model_Y_Standard_2026/Tesla_Model_Y_Standard_2026-01-thumb.jpg,TeslaModel,380 km,158 Wh/km,60.0 kWh,"€40,970"
https://ev-database.org/img/auto/BYD_SEALION_7/BYD_SEALION_7-01-thumb.jpg,BYDSEALION,440 km,208 Wh/km,91.3 kWh,"€58,990"
https://ev-database.org/img/auto/Mercedes_GLB/Mercedes_GLB-01-thumb.jpg,Mercedes-BenzGLB,460 km,185 Wh/km,85.0 kWh,"€62,178"
https://ev-database.org/img/auto/Tesla_Model_3_2024/Tesla_Model_3_2024-01-thumb.jpg,TeslaModel,580 km,136 Wh/km,79.0 kWh,"£44,990"
https://ev-database.org/img/auto/Tesla_Model_3_2024/Tesla_Model_3_2024-01-thumb.jpg,TeslaModel,440 km,136 Wh/km,60.0 kWh,"£39,990"
https://ev-database.org/img/auto/Mercedes_GLC_2026/Mercedes_GLC_2026-01-thumb.jpg,Mercedes-BenzGLC,500 km,188 Wh/km,94.0 kWh,"€71,281"
https://ev-database.org/img/auto/Fiat_Grande_Panda_2024/Fiat_Grande_Panda_2024-01-thumb.jpg,FiatGrande,260 km,168 Wh/km,43.8 kWh,"€24,990"
https://ev-database.org/img/auto/Tesla_Model_Y_2025/Tesla_Model_Y_2025-01-thumb.jpg,TeslaModel,475 km,166 Wh/km,79.0 kWh,"€53,970"
https://ev-database.org/img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb.jpg,VolvoEX30,365 km,178 Wh/km,65.0 kWh,"€44,990"
https://ev-database.org/img/auto/Tesla_Model_Y_Performance_2025/Tesla_Model_Y_Performance_2025-01-thumb.jpg,TeslaModel,460 km,172 Wh/km,79.0 kWh,"€62,970"
https://ev-database.org/img/auto/Hyundai_IONIQ5_2024/Hyundai_IONIQ5_2024-01-thumb.jpg,HyundaiIONIQ,450 km,178 Wh/km,80.0 kWh,"€51,650"
https://ev-database.org/img/auto/BMW_iX1_2022/BMW_iX1_2022-01-thumb.jpg,BMWiX1,380 km,170 Wh/km,64.7 kWh,"€55,000"
https://ev-database.org/img/auto/Skoda_Elroq_2024/Skoda_Elroq_2024-01-thumb.jpg,ŠkodaElroq,450 km,171 Wh/km,77.0 kWh,"€44,180"
https://ev-database.org/img/auto/Kia-NiroEV-2022/Kia-NiroEV-2022-01-thumb.jpg,KiaNiro,385 km,168 Wh/km,64.8 kWh,"€45,690"
https://ev-database.org/img/auto/Hyundai_Kona_Electric_2024/Hyundai_Kona_Electric_2024-01-thumb.jpg,HyundaiKona,390 km,168 Wh/km,65.4 kWh,"€47,190"
https://ev-database.org/img/auto/Mercedes_EQS_2024/Mercedes_EQS_2024-01-thumb.jpg,Mercedes-BenzEQS,685 km,172 Wh/km,118.0 kWh,"€109,551"
https://ev-database.org/img/auto/Mercedes_GLB/Mercedes_GLB-01-thumb.jpg,Mercedes-BenzGLB,465 km,183 Wh/km,85.0 kWh,"€59,048"
https://ev-database.org/img/auto/BYD_SEAL/BYD_SEAL-01-thumb.jpg,BYDSEAL,445 km,185 Wh/km,82.5 kWh,"€52,990"
https://ev-database.org/img/auto/Volkswagen_ID3_2024/Volkswagen_ID3_2024-01-thumb.jpg,VolkswagenID.3,325 km,160 Wh/km,52.0 kWh,"€33,330"
https://ev-database.org/img/auto/Mazda_6e/Mazda_6e-01-thumb.jpg,Mazda6e,385 km,171 Wh/km,66.0 kWh,"€44,900"
https://ev-database.org/img/auto/Renault_Megane_ETech/Renault_Megane_ETech-01-thumb.jpg,RenaultMegane,380 km,158 Wh/km,60.0 kWh,"€40,990"
https://ev-database.org/img/auto/Rolls-Royce-Spectre/Rolls-Royce-Spectre-01-thumb.jpg,Rolls-RoyceSpectreRolls-Royce,465 km,219 Wh/km,102.0 kWh,"€379,015"
https://ev-database.org/img/auto/Peugeot_e-2008_2024/Peugeot_e-2008_2024-01-thumb.jpg,Peugeote-2008,300 km,169 Wh/km,50.8 kWh,"€40,550"
https://ev-database.org/img/auto/MG_MGS5_EV_Electric_2025/MG_MGS5_EV_Electric_2025-01-thumb.jpg,MGMGS5,365 km,170 Wh/km,62.1 kWh,"€42,990"
https://ev-database.org/img/auto/Mercedes_EQB_2024/Mercedes_EQB_2024-01-thumb.jpg,Mercedes-BenzEQB,415 km,170 Wh/km,70.5 kWh,"€51,356"
https://ev-database.org/img/auto/Volvo_EX30_2024/Volvo_EX30_2024-01-thumb.jpg,VolvoEX30,275 km,178 Wh/km,49.0 kWh,"€39,790"
